full_text,label
Normalize embarrassing customs until they restore our rights as tourists to shop abroad for personal use,Negative
"customs's affection is based on Garry Chapman & Paul White, tax penalty, physical tax, tangible tax quantity, tax payment, tax affirmation",Neutral
"What happened to all the fighting between bears and humans? We still have many other customs issues to deal with, now we add this outrage-inducing topic to the list. It seems like we're never satisfied, right?",Negative
"What happened to the annual customs when I buy something for thousands of rupiah and the customs officer says, 'If you add a thousand more, it will be taxed, is there any benefit or not.' So, everything went according to procedure and I didn't pay taxes. Yay!",Positive
Can we collectively and massively make customs people as an insult to incompetent people in our workplace?,Negative
"Sheesh the replies are the buzzer of customs, one pair of jeans is like dollars one pair of shoes is dollars two items in and we re close to of the capped value",Neutral
"I don't know guys, whatever customs rules are kinda reasonable yeah they're tight complicated slow expensive bcs I mean I don't know anything about those rules",Neutral
I thought it was because of the jerome effect but eh preventing customs also makes sense,Positive
"This is actually a good following feature on Twitter so don't get sick of seeing constant recommended tweets about customs stealing things just because I can't help but automatically like that tweet, I feel guilty",Negative
It's funny I made a tweet about customs not long ago and there was a big and sad discourse today haha,Negative
Every day I heard something new about customs's fraudulent practices and every day I cursed them endlessly,Negative
"This is one of the best angry tweets I have ever come across on this app I feel the anger in every word, he is right we are sick of this customs",Negative
Waking up and reading customs news actually soured my morning so bad. I'm so tired of being a creative in this country ,Negative
"Yes this is the customs downfall that I have been waiting for, God know how long. Let it sink more to come  ",Negative
"I hope that the confusing customs employees have a very bad life and afterlife, if they still have faith",Negative
"Not related to customs but I still think that twitter is not suitable for long texts like this, concrete input is better if divided into several tweets sir",Positive
"And if I'm not mistaken, what happens in many government organizations where the customs department is included in the operations category so it would not be surprising if we see more cases in the future that occur because of customs",Negative
Another case of customs and the Ministry of Trade taking care of people's small things rather than focusing on the big whale to stop large illegal shipments ,Negative
"This might just me being jealous but not even a capacity to restrain yourself. At the level of Beacuk, your education is semi-military, where's your mentality?",Negative
"customs and his superiors at the Ministry of Finance, I said, start fixing the system and policies. If more than half of the countries are complaining about the same thing then you should have realized that something is beyond wrong.",Negative
I'm asking all my queer moots to please for the love of God create a local sr earthquakes on every customs offices in Indonesia,Negative
Oh you know it better even customs knows better compare to me who plays dirty fishy monkey and yet people with mid income is juicier to the customs ,Negative
I'm so fucking mad holy shit the customs in this shithole country are made up of a bunch of corrupted greedy crooks cinnaikey has been stuck there since fucking february fuck you customs you are literally a shit.,Negative
customs disbanded wipe the slate clean reapply presidential instructions both options aren't mutually exclusive anyway,Neutral
"I'm not having any business at all with customs, but a government body being roasted to bits by netizens due to their mess is always welcome",Neutral
"Very much against customs but his delivery as if his unboxing content would cure a world hunger problem, bye",Negative
Say what if customs employee vs communications and information department death battle who would emerge as the last man standing,Negative
"I'm enjoying the bullying of customs and other officials a little bit too much yessss they all go to hell and rot there, their wealth is not blessed and their sins are not forgiven",Negative
"Ya Allah please take all innocent Indonesian tax payers suffering, triple it and give it to customs and Directorate General of Taxes",Negative
"Yes but customs is like you know yellow floating on river smelly and mushy, if you know yes that's it, it's a shit",Neutral
"It's crazy  that many people do guilt trip to others who work at banks when they literally help many households to have house mortgage loans for business while the real ones like customs make people's lives difficult, steal people's money, steal things. People like customs are even praised and told to go there when they graduate from school",Negative
That first case customs you all going to hell for wasting my time driving around town and then some after quarantining,Negative
Didn't understand they make customs's hastag which #BeaCukaiMakinBaik according to their shit behaviour,Negative
"I swear if customs do anything dirty to my physical eiyuden reward, I will abandon all hope for this country . Plain and simple ",Negative
customs's query seems to be select product max price from ecommerce where product type is gift ,Negative
"Imagine being forced to buy a highly scalped item at the lowest price out of all of them and customs comparing the price to the ebay scalped price instead of the original price, fuck. You will see me on the news",Negative
I'm so happy customs got the wack they deserve cause my wallet was torn by them for buying second hand albums and photocards,Negative
"The next time I go home from overseas, I'm gonna strap my expensive figurines to my chest like a suicide bomb so that customs can't confiscate them off me",Negative
customs mfs did the same just like genshin theorycrafters when they calculating those dmg crit bonuses  ,Negative
