created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue May 07 12:27:06 +0000 2024,1787821458317848824,@zulfikar_k360ib Becuk downfall di mata vtuber here we go https://t.co/Ea61iYHpeU,0,0,0,0,en,502829778,1787519792032907502,endmoisuffering,https://twitter.com/endmoisuffering/status/1787821458317848824
Tue May 07 07:42:13 +0000 2024,1787749764731474338,Becuk can't catch this,0,0,0,0,en,1463244788719767552,1787749764731474338,diptherium,https://twitter.com/diptherium/status/1787749764731474338
Tue May 07 06:59:41 +0000 2024,1787739063568773580,"NORMALIZE EMBARRASSING BECUK, UNTIL THEY GIVE BACK OUR RIGHTS AS A TOURIST TO SHOP OVERSEAS FOR PERSONAL USE.",0,2,4,22,en,900013274002989057,1787739063568773580,thepan_316,https://twitter.com/thepan_316/status/1787739063568773580
Tue May 07 04:26:04 +0000 2024,1787700404404498875,"Here I said again, Becuk tolol",0,0,0,0,en,1350939300,1787700404404498875,shinunoa,https://twitter.com/shinunoa/status/1787700404404498875
Mon May 06 11:29:25 +0000 2024,1787444553936740404,@txtdarionlshop Affectionnya becuk berdasarkan Garry Chapman &amp  Paul White: 🔥Act of tax punishment  🔥Physical tax 🔥Tangible tax 🔥Quantity tax payment 🔥Tax affirmation,0,0,0,5,en,1681741765727105024,1787159779468771372,mudahsenyumah,https://twitter.com/mudahsenyumah/status/1787444553936740404
Mon May 06 11:16:13 +0000 2024,1787441233180467603,"another day, another becuk slander 🤩  a place full of clown istg 🤡🤡🤡",0,0,0,0,en,1279419968866545665,1787441233180467603,blatherxkite,https://twitter.com/blatherxkite/status/1787441233180467603
Mon May 06 10:42:02 +0000 2024,1787432630058881422,Hope it's passed becuk,0,0,0,0,en,786152180239568900,1787432458423882153,bbuebery,https://twitter.com/bbuebery/status/1787432630058881422
Mon May 06 08:17:28 +0000 2024,1787396248041062506,@medyrenaldy_ Megatron and becuk collabs when?,0,0,0,0,en,86273612,1787346670935761244,adrianrendra,https://twitter.com/adrianrendra/status/1787396248041062506
Mon May 06 06:52:26 +0000 2024,1787374850438471789,And here we go again becuk.,0,0,0,0,en,1762443253146845184,1787374850438471789,saysvtname,https://twitter.com/saysvtname/status/1787374850438471789
Mon May 06 05:08:34 +0000 2024,1787348710806184326,One day one story becuk,0,1,0,0,en,1117245828651839489,1787348710806184326,Shuashuashua171,https://twitter.com/Shuashuashua171/status/1787348710806184326
